Y00318_at,CFI
X95404_at,CFL1
AF005775_at,CFLAR
M83652_s_at,CFP
AC000061_cds2_at,CFTR
AC000061_cds3_at,CFTR
M55131_at,CFTR
S70585_rna1_at,CGA
J00117_f_at,CGB5
K03183_f_at,CGB5
K03189_f_at,CGB5
U66468_at,CGREF1
U66469_at,CGRRF1
U96769_rna1_at,CHAD
U20979_at,CHAF1A
U20980_at,CHAF1B
X86691_at,CHD4
U00930_at,CHD8
U94836_at,CHERP
Y08265_s_at,CHERP
J03915_s_at,CHGA
Y00064_at,CHGB
Y08374_rna1_at,CHI3L1
U49835_s_at,CHI3L2
Y11897_at,CHIC1
U29615_at,CHIT1
D10704_at,CHKA
U62317_rna3_at,CHKB-CPT1B
X78121_at,CHM
X64728_at,CHML
U58048_at,CHMP1A
X51408_at,CHN1
U07223_at,CHN2
U61538_at,CHP1
X70297_at,CHRFAM7A
M35128_at,CHRM1
M16404_at,CHRM2
U29589_at,CHRM3
M16405_at,CHRM4
M80333_at,CHRM5
S77094_at,CHRNA1
U62431_at,CHRNA2
M86383_s_at,CHRNA3
M37981_at,CHRNA3
U62432_at,CHRNA3
U62433_at,CHRNA4
M83712_s_at,CHRNA5
U62434_at,CHRNA5
X14830_at,CHRNB1
U62437_at,CHRNB2
U62438_at,CHRNB3
Y08417_s_at,CHRNB3
U48861_at,CHRNB4
X55019_s_at,CHRND
X66403_at,CHRNE
X01715_at,CHRNG
L00635_at,CHURC1-FNTB
U85611_at,CIB1
U18288_at,CIITA
U18259_at,CIITA
X74301_s_at,CIITA
U03644_at,CIR1
D78134_at,CIRBP
U65092_at,CITED1
U65093_at,CITED2
X69910_at,CKAP4
D43948_at,CKAP5
M16364_s_at,CKB
M21494_at,CKM
J04469_at,CKMT1B
J05401_at,CKMT2
X54941_at,CKS1BP2
X54942_at,CKS2
L01664_at,CLC
Z25884_at,CLCN1
X78520_at,CLCN3
X77197_at,CLCN4
X81836_s_at,CLCN5
X83378_at,CLCN6
Z67743_at,CLCN7
Z30643_at,CLCNKA
Z30644_at,CLCNKB
U89916_at,CLDN10
AF000959_at,CLDN5
D50532_at,CLEC10A
X96719_at,CLEC2B
D79993_at,CLINT1
X64838_at,CLIP1
L29218_at,CLK2
L29217_at,CLK3
U32680_at,CLN3
X91788_at,CLNS1A
AB002332_at,CLOCK
AB005535_s_at,CLOCK
U73524_at,CLP1
Z50853_at,CLPP
